Ticker,Short Name,Market Cap,Sector,Industry,PE Ratio,Dividend Yield,Forward P/E Ratio,50日均差%,200日均差%,CurrentY成長,NextY成長,CurrentQ成長,NextQ成長,stock,ethnic_group
CDW,CDW Corporation,18431318016,technology,information-technology-services,17.719952,0.017177789,12.27026,0.038694326,0.11619622,0.0937,0.0964,0.091800004,0.0979,,
CEG,Constellation Energy Corporatio,93345824768,utilities,utilities-independent-power-producers,25.778864,0.006214948,19.880188,-0.029152011,-0.09877329,0.2923,0.0921,0.2345,0.35799998,,
CF,"CF Industries Holdings, Inc.",18249865216,basic-materials,agricultural-inputs,8.939214,0.016224548,11.2654505,-0.038246825,0.08874845,0.6793,-0.2787,0.3755,0.38439998,,
CFG,"Citizens Financial Group, Inc.",27582867456,financial-services,banks-regional,14.267973,0.026722088,10.026747,-0.07923188,0.010580247,0.372,0.2336,0.3321,0.3157,,
CHD,"Church & Dwight Company, Inc.",22800039936,consumer-defensive,household-personal-products,30.807693,0.012619123,23.820086,-0.026900904,0.0066998308,0.0683,0.07,0.1092,0.1992,,
CHRW,"C.H. Robinson Worldwide, Inc.",17476274176,industrials,integrated-freight-logistics,28.541986,0.016422402,19.943407,-0.07152995,-0.13361663,0.22659999,0.20120001,0.21139999,0.301,,
CHTR,"Charter Communications, Inc.",15238828032,communication-services,telecom-services,3.0504684,0.0,2.8223314,-0.18146531,-0.34521976,0.1282,0.0296,0.12020001,0.0779,,
CI,The Cigna Group,72333189120,healthcare,healthcare-plans,11.320926,0.022370387,8.1831875,-0.03120637,-0.02184822,0.0224,0.096499994,-0.0428,-0.081199996,,
CIEN,Ciena Corporation,52264951808,technology,communication-equipment,82.63677,0.0,31.2469,-0.035344396,-0.041711316,1.7146001,0.7647,11.438399,0.7517,,
CINF,Cincinnati Financial Corporatio,25451264000,financial-services,insurance-property-casualty,7.829556,0.021696134,18.36186,-0.048512504,-0.010082682,0.0618,0.0699,-0.3367,-0.1309,,
CL,Colgate-Palmolive Company,69393891328,consumer-defensive,household-personal-products,34.271656,0.024229074,21.218666,-0.04072059,-0.012078635,0.0502,0.0586,0.0216,0.0188,,
CLX,Clorox Company (The),10539137024,consumer-defensive,household-personal-products,18.118504,0.058553252,13.920413,-0.11124026,-0.14821328,0.047199998,0.081099994,0.3068,-0.0201,,
CMCSA,Comcast Corporation,79560433664,communication-services,telecom-services,7.185898,0.05756651,6.26222,-0.102295116,-0.16568378,-0.1879,0.0228,-0.1158,-0.1823,,
CME,CME Group Inc.,96083173376,financial-services,financial-data-stock-exchanges,22.664122,0.018509781,20.671633,0.0008757154,-0.04121817,0.0938,0.0552,0.0954,0.0688,,
CMG,"Chipotle Mexican Grill, Inc.",41290588160,consumer-cyclical,restaurants,30.212963,0.0,23.814737,-0.06887412,-0.06715323,-0.0172,0.1915,0.0027,0.13949999,,
CMI,Cummins Inc.,72429412352,industrials,specialty-industrial-machinery,26.884518,0.014959422,15.248364,-0.13084634,-0.12735383,0.39360002,0.1807,1.1762999,1.0004001,,
CMS,CMS Energy Corporation,20153602048,utilities,utilities-regulated-electric,19.3003,0.03438949,15.4662485,-0.08654709,-0.12155058,0.0723,0.0735,0.2086,0.3171,,
CNC,Centene Corporation,31269883904,healthcare,healthcare-plans,0.0,0.0,11.836731,-0.032852516,0.22315179,1.3484,0.094799995,-0.8056,0.08229999,,
CNP,"CenterPoint Energy, Inc (Holdin",24932560896,utilities,utilities-regulated-electric,22.529762,0.023690443,18.132605,-0.072672166,-0.086275235,0.0857,0.0924,-0.0175,0.028099999,,
